priority,kind,name,stem,role,check,occurrences,files,used_in,status,notes
B,pharmacy,Summitline Specialty,Summitline,plan-mandated pharmacy outside the network,"Pharmacy and specialty pharmacy names; state board listings, web search",2,2,payer/plans.json; test-design/ps-cases.json,verified,Reviewed 2026-09-24
B,pharmacy,Tigerwater Specialty Pharmacy,Tigerwater,specialty pharmacy network,"Pharmacy and specialty pharmacy names; state board listings, web search",30,18,access/how-to-prescribe.md; access/specialty-pharmacy-network.json; access/start-form.json; access/start-form.md; channel/shipments.json; channel/trading-partners.json; ...,verified,Reviewed 2026-09-24
B,provider,Alderdale Health,Alderdale,generated office,"Practice, clinic and health system names; web search",3,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Aldershaw Neurological Care,Aldershaw,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Alderstead Neurology Clinic,Alderstead,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Aldervale Neurology Associates,Aldervale,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Arroyo Linden Neurology,Arroyo Linden,account in crm/field-force.json,"Practice, clinic and health system names; web search",2,2,crm/field-force.json; test-design/scenarios/ae-intake.json,verified,Reviewed 2026-09-24
B,provider,Ashbrook Lane Neurology,Ashbrook Lane,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Bellwood Hollow Clinic,Bellwood Hollow,account in crm/field-force.json,"Practice, clinic and health system names; web search",2,2,crm/field-force.json; test-design/scenarios/ae-intake.json,verified,Reviewed 2026-09-24
B,provider,Bitterndale Medical Group,Bitterndale,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Bitternford Health,Bitternford,generated office,"Practice, clinic and health system names; web search",9,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Bitternhurst Neuroscience Institute,Bitternhurst,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Bitternshaw Physicians,Bitternshaw,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Bramblebrook Medical Group,Bramblebrook,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Bramblefell Neurology,Bramblefell,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Bramblehaven Neurology,Bramblehaven,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Bramblehithe Medical Group,Bramblehithe,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Brindlewood Neurology,Brindlewood,account in crm/field-force.json,"Practice, clinic and health system names; web search",2,2,crm/field-force.json; test-design/scenarios/ae-intake.json,verified,Reviewed 2026-09-24
B,provider,Burdockcrest Physicians,Burdockcrest,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Burdockhollow Neurology Associates,Burdockhollow,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Burdockhurst Physicians,Burdockhurst,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Burdockmere Neuroscience Institute,Burdockmere,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Campionford Neurological Care,Campionford,generated office,"Practice, clinic and health system names; web search",2,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Campionhollow Physicians,Campionhollow,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Campionhurst Medical Group,Campionhurst,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Campionridge Neurology Clinic,Campionridge,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Campionworth Community Health Center,Campionworth,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Cedarmoss Neurology,Cedarmoss,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Cinderfell Neurology Clinic,Cinderfell,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Cinderford Neurology Associates,Cinderford,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Cinderhaven Neurology Associates,Cinderhaven,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Cindermere Health Partners,Cindermere,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Coquina Shore Neurology,Coquina Shore,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Cypress Landing Neurology,Cypress Landing,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Eastmere Neurological Institute,Eastmere,account in crm/field-force.json,"Practice, clinic and health system names; web search",3,2,crm/field-force.json; test-design/scenarios/ae-intake.json,verified,Reviewed 2026-09-24
B,provider,Fennelcombe Physicians,Fennelcombe,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Fennelcrest Neurology,Fennelcrest,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Fennelhithe Neurological Care,Fennelhithe,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Fennelshaw Neurological Care,Fennelshaw,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Fennelwick Community Health Center,Fennelwick,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Fenwick Hollow Neurology Associates,Fenwick Hollow,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Gorsecrest Health Partners,Gorsecrest,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Gorsemere Neurological Care,Gorsemere,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Gorseworth Community Health Center,Gorseworth,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Gullhaven Neurology,Gullhaven,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Halverson Health,Halverson,pharmacy parent,"Practice, clinic and health system names; web search",37,18,README.md; access/how-to-prescribe.md; access/specialty-pharmacy-network.json; access/start-form.json; access/start-form.md; channel/shipments.json; ...,verified,Reviewed 2026-09-24
B,provider,Halverson Health Neuroscience Clinic,Halverson,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Heronfell Neurology,Heronfell,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Heronmere Neurology Clinic,Heronmere,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Heronshaw Health Partners,Heronshaw,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Juniper Mesa Clinic,Juniper Mesa,account in crm/field-force.json,"Practice, clinic and health system names; web search",2,2,crm/field-force.json; test-design/scenarios/ae-intake.json,verified,Reviewed 2026-09-24
B,provider,Juniperbrook Neurology,Juniperbrook,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Juniperdale Neurology Associates,Juniperdale,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Junipergate Neurology Associates,Junipergate,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Junipermere Neuroscience Institute,Junipermere,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Juniperstead Neuroscience Institute,Juniperstead,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Junipervale Neurological Care,Junipervale,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Keelhaven Neurology Center,Keelhaven,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Kestrelridge Neurological Care,Kestrelridge,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Larchcombe Neurology Clinic,Larchcombe,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Larchcrest Physicians,Larchcrest,generated office,"Practice, clinic and health system names; web search",2,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Larchhollow Neurological Care,Larchhollow,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Larchmoor Medical Group,Larchmoor,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Larkspur Peak Neurology,Larkspur Peak,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Lindencrest Neurology Associates,Lindencrest,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Lindenhithe Health,Lindenhithe,generated office,"Practice, clinic and health system names; web search",6,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Lindenmere Neurology,Lindenmere,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Marrambrook Neurology,Marrambrook,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Marramdale Neurology,Marramdale,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Marrammere Health,Marrammere,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Marrowdale Neurology,Marrowdale,account in crm/field-force.json,"Practice, clinic and health system names; web search",2,2,crm/field-force.json; test-design/scenarios/ae-intake.json,verified,Reviewed 2026-09-24
B,provider,Mesquite Ridge Neurology,Mesquite Ridge,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Nettlehollow Neurology,Nettlehollow,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Nettleshaw Neurology Associates,Nettleshaw,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Nettlevale Neurology Center,Nettlevale,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Norwood Chase Neurology,Norwood Chase,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
